opportunity_id,account_name,segment,region,product,lead_source,owner,created_date,close_date,stage,amount,sales_cycle_days,close_date_pushed,loss_reason,lost_at_stage,is_won,is_closed
OPP-102604,Ironclad Health,Mid-Market,EMEA,API Enterprise,Event / Conference,Lena Berzins,2023-01-10,2023-05-06,Closed Lost,22500.0,116,False,Missing Features,Prospecting,False,True
OPP-105155,Cobalt Logistics,SMB,APAC,Analytics Add-on,Event / Conference,Ethan Sharma,2023-01-10,2023-02-10,Closed Lost,15500.0,31,False,Chose Competitor,Qualification,False,True
OPP-100240,Cascade Technologies,SMB,AMER,Platform Core,Inbound - Website,Tomas Haas,2023-01-10,2023-02-08,Closed Lost,12000.0,29,False,Price,Proposal,False,True
OPP-103512,Apex Energy,Mid-Market,EMEA,Analytics Add-on,Event / Conference,Felix Lindqvist,2023-01-10,2023-04-06,Closed Lost,85500.0,86,False,Price,Negotiation,False,True
OPP-102818,Keystone Analytics,SMB,EMEA,Platform Core,Partner Referral,Priya Kimura,2023-01-11,2023-04-03,Closed Lost,17500.0,82,False,Price,Prospecting,False,True
OPP-100327,Apex Analytics,Enterprise,EMEA,Platform Core,Customer Expansion,Ines Osei,2023-01-11,2023-03-16,Closed Lost,119500.0,64,False,No Decision / Stalled,Proposal,False,True
OPP-102447,Granite Logistics,Mid-Market,EMEA,Security Suite,Outbound - SDR,Jonas Keller,2023-01-11,2023-06-08,Closed Lost,36500.0,148,False,No Decision / Stalled,Negotiation,False,True
OPP-102867,Orion Systems,Enterprise,AMER,Platform Core,Event / Conference,Tomas Haas,2023-01-11,2023-05-12,Closed Lost,222000.0,121,False,Chose Competitor,Qualification,False,True
OPP-104803,Blue Harbor Health,Mid-Market,AMER,Analytics Add-on,Customer Expansion,Oscar Chen,2023-01-12,2023-05-23,Closed Lost,26500.0,131,False,Timing / Budget Cycle,Qualification,False,True
OPP-102188,Nimbus Energy,SMB,EMEA,API Enterprise,Partner Referral,Maya Novak,2023-01-12,2023-02-17,Closed Won,11000.0,36,False,,,True,True
OPP-103969,Lumen Manufacturing,SMB,AMER,Analytics Add-on,Inbound - Website,Hana Alvarez,2023-01-13,2023-02-14,Closed Won,18000.0,32,False,,,True,True
OPP-103375,Pinnacle Analytics,Mid-Market,EMEA,Security Suite,Partner Referral,Priya Kimura,2023-01-13,2023-05-11,Closed Won,38500.0,118,False,,,True,True
OPP-100085,Northwind Health,Enterprise,AMER,Platform Core,Partner Referral,Hana Alvarez,2023-01-13,2023-05-05,Closed Won,112500.0,112,False,,,True,True
OPP-102241,Redwood Analytics,SMB,APAC,Analytics Add-on,Outbound - SDR,Ethan Sharma,2023-01-13,2023-02-20,Closed Lost,15000.0,38,False,Price,Qualification,False,True
OPP-100549,Meridian Logistics,Mid-Market,AMER,Analytics Add-on,Event / Conference,Noah Bianchi,2023-01-14,2023-05-04,Closed Won,38500.0,110,False,,,True,True
OPP-105826,Lumen Logistics,Mid-Market,EMEA,Analytics Add-on,Customer Expansion,Felix Lindqvist,2023-01-14,2023-03-25,Closed Won,18500.0,70,False,,,True,True
OPP-103700,Orion Analytics,Mid-Market,EMEA,Platform Core,Customer Expansion,Ines Osei,2023-01-15,2023-03-20,Closed Won,47500.0,64,False,,,True,True
OPP-102254,Summit Technologies,SMB,EMEA,Platform Core,Outbound - SDR,Ines Osei,2023-01-15,2023-02-12,Closed Lost,9500.0,28,False,No Decision / Stalled,Proposal,False,True
OPP-103555,Summit Consulting,Mid-Market,AMER,Platform Core,Partner Referral,Liam Petrov,2023-01-16,2023-06-10,Closed Lost,14500.0,145,False,No Decision / Stalled,Negotiation,False,True
OPP-105184,Apex Systems,Mid-Market,AMER,Platform Core,Outbound - SDR,Liam Petrov,2023-01-16,2023-05-11,Closed Won,17000.0,115,False,,,True,True
OPP-102622,Keystone Logistics,Mid-Market,AMER,Platform Core,Inbound - Website,Oscar Chen,2023-01-16,2023-06-15,Closed Lost,61500.0,150,False,No Decision / Stalled,Negotiation,False,True
OPP-105527,Vertex Manufacturing,SMB,EMEA,Platform Core,Inbound - Website,Jonas Keller,2023-01-17,2023-02-14,Closed Lost,11000.0,28,False,Price,Proposal,False,True
OPP-103874,Solstice Consulting,Mid-Market,AMER,Analytics Add-on,Event / Conference,Tomas Haas,2023-01-17,2023-04-20,Closed Lost,36000.0,93,False,Chose Competitor,Prospecting,False,True
OPP-100583,Sterling Media,Mid-Market,AMER,Security Suite,Inbound - Website,Liam Petrov,2023-01-18,2023-04-02,Closed Lost,60000.0,74,False,Chose Competitor,Negotiation,False,True
OPP-105081,Redwood Retail Group,Mid-Market,AMER,Platform Core,Customer Expansion,Nadia Vanags,2023-01-18,2023-03-05,Closed Won,54000.0,46,False,,,True,True
OPP-104817,Nimbus Consulting,Mid-Market,EMEA,Analytics Add-on,Inbound - Website,Ruth Okafor,2023-01-19,2023-07-08,Closed Lost,43000.0,170,False,Price,Prospecting,False,True
OPP-100530,Meridian Consulting,Mid-Market,EMEA,Platform Core,Customer Expansion,Kai Duarte,2023-01-19,2023-03-16,Closed Won,38500.0,56,False,,,True,True
OPP-101797,Redwood Analytics,Mid-Market,AMER,Analytics Add-on,Outbound - SDR,Oscar Chen,2023-01-19,2023-04-20,Closed Won,87500.0,91,False,,,True,True
OPP-100404,Lumen Consulting,Mid-Market,EMEA,Platform Core,Outbound - SDR,Ines Osei,2023-01-19,2023-03-23,Closed Lost,55500.0,63,False,Chose Competitor,Proposal,False,True
OPP-102515,Pacific Technologies,SMB,APAC,Platform Core,Outbound - SDR,Ethan Sharma,2023-01-19,2023-02-26,Closed Won,5000.0,38,False,,,True,True
OPP-104357,Northwind Systems,Mid-Market,AMER,Analytics Add-on,Inbound - Website,Zara Ito,2023-01-20,2023-07-05,Closed Won,34000.0,166,False,,,True,True
OPP-104583,Meridian Robotics,Mid-Market,AMER,Security Suite,Partner Referral,Sofia Moreau,2023-01-20,2023-05-14,Closed Won,52500.0,114,False,,,True,True
OPP-102431,Meridian Energy,Mid-Market,AMER,Platform Core,Inbound - Website,Hana Alvarez,2023-01-21,2023-05-16,Closed Lost,67500.0,115,False,Chose Competitor,Prospecting,False,True
OPP-103090,Vertex Health,Mid-Market,EMEA,Analytics Add-on,Customer Expansion,Priya Kimura,2023-01-21,2023-03-28,Closed Lost,61500.0,66,False,Timing / Budget Cycle,Negotiation,False,True
OPP-104299,Northwind Retail Group,SMB,EMEA,Platform Core,Inbound - Website,Ava Larsen,2023-01-21,2023-02-25,Closed Lost,8000.0,35,False,Price,Prospecting,False,True
OPP-103777,Northwind Media,SMB,AMER,Analytics Add-on,Customer Expansion,Tomas Haas,2023-01-21,2023-03-12,Closed Won,8000.0,50,False,,,True,True
OPP-105579,Vantage Energy,SMB,AMER,Security Suite,Inbound - Website,Nadia Vanags,2023-01-21,2023-03-27,Closed Lost,18500.0,65,False,Chose Competitor,Prospecting,False,True
OPP-105795,Pacific Energy,Mid-Market,AMER,Security Suite,Inbound - Website,Hana Alvarez,2023-01-21,2023-04-10,Closed Lost,40500.0,79,False,Chose Competitor,Qualification,False,True
OPP-103454,Cascade Insurance,SMB,EMEA,Security Suite,Outbound - SDR,Ruth Okafor,2023-01-22,2023-03-05,Closed Lost,21000.0,42,False,Price,Prospecting,False,True
OPP-105770,Meridian Retail Group,Mid-Market,AMER,Platform Core,Partner Referral,Sofia Moreau,2023-01-22,2023-03-24,Closed Won,49500.0,61,False,,,True,True
OPP-105748,Sterling Energy,Mid-Market,AMER,Platform Core,Inbound - Website,Oscar Chen,2023-01-22,2023-06-10,Closed Lost,40000.0,139,False,No Decision / Stalled,Qualification,False,True
OPP-104255,Orion Systems,Mid-Market,AMER,API Enterprise,Customer Expansion,Derek Wolf,2023-01-22,2024-01-23,Closed Lost,35000.0,366,False,Price,Negotiation,False,True
OPP-105709,Apex Energy,SMB,EMEA,Platform Core,Outbound - SDR,Maya Novak,2023-01-23,2023-03-05,Closed Won,8500.0,41,False,,,True,True
OPP-105228,Orion Energy,SMB,EMEA,Analytics Add-on,Outbound - SDR,Jonas Keller,2023-01-23,2023-02-14,Closed Won,18000.0,22,False,,,True,True
OPP-101722,Northwind Financial,Enterprise,AMER,Analytics Add-on,Partner Referral,Zara Ito,2023-01-23,2023-05-13,Closed Lost,502500.0,110,False,Chose Competitor,Qualification,False,True
OPP-102050,Summit Health,SMB,AMER,Platform Core,Customer Expansion,Hana Alvarez,2023-01-23,2023-03-08,Closed Lost,12000.0,44,False,Price,Qualification,False,True
OPP-100734,Ironclad Logistics,Mid-Market,AMER,Platform Core,Inbound - Website,Tomas Haas,2023-01-23,2023-04-10,Closed Lost,59500.0,77,False,No Decision / Stalled,Prospecting,False,True
OPP-102279,Nimbus Insurance,SMB,EMEA,Platform Core,Partner Referral,Priya Kimura,2023-01-24,2023-02-10,Closed Lost,17500.0,17,False,Price,Negotiation,False,True
OPP-100888,Cascade Health,Mid-Market,EMEA,Security Suite,Outbound - SDR,Kai Duarte,2023-01-25,2023-04-05,Closed Lost,34500.0,70,False,No Decision / Stalled,Negotiation,False,True
OPP-105012,Keystone Manufacturing,SMB,AMER,Analytics Add-on,Customer Expansion,Tomas Haas,2023-01-25,2023-03-19,Closed Lost,14500.0,53,False,Missing Features,Proposal,False,True
OPP-105352,Meridian Foods,SMB,AMER,Platform Core,Outbound - SDR,Zara Ito,2023-01-26,2023-03-05,Closed Lost,12000.0,38,False,Chose Competitor,Qualification,False,True
OPP-104676,Apex Manufacturing,Mid-Market,EMEA,API Enterprise,Outbound - SDR,Felix Lindqvist,2023-01-26,2023-04-14,Closed Won,41500.0,78,False,,,True,True
OPP-104589,Pacific Energy,SMB,AMER,API Enterprise,Partner Referral,Sofia Moreau,2023-01-26,2023-03-06,Closed Lost,10500.0,39,False,No Decision / Stalled,Prospecting,False,True
OPP-102232,Northwind Technologies,Mid-Market,AMER,Platform Core,Partner Referral,Zara Ito,2023-01-27,2023-04-14,Closed Lost,44500.0,77,False,Price,Prospecting,False,True
OPP-104150,Northwind Retail Group,SMB,EMEA,Analytics Add-on,Inbound - Website,Kai Duarte,2023-01-27,2023-04-07,Closed Lost,11000.0,70,False,Chose Competitor,Qualification,False,True
OPP-102743,Summit Insurance,SMB,AMER,Analytics Add-on,Event / Conference,Hana Alvarez,2023-01-27,2023-04-12,Closed Lost,13500.0,75,False,No Decision / Stalled,Proposal,False,True
OPP-100846,Northwind Consulting,Enterprise,AMER,Analytics Add-on,Outbound - SDR,Hana Alvarez,2023-01-27,2023-06-18,Closed Lost,71500.0,142,False,Price,Qualification,False,True
OPP-103257,Ironclad Systems,SMB,EMEA,Analytics Add-on,Inbound - Website,Kai Duarte,2023-01-28,2023-03-05,Closed Lost,12500.0,36,False,Chose Competitor,Prospecting,False,True
OPP-100083,Ironclad Technologies,SMB,EMEA,Analytics Add-on,Customer Expansion,Maya Novak,2023-01-28,2023-03-04,Closed Won,11000.0,35,False,,,True,True
OPP-102402,Granite Analytics,SMB,AMER,Platform Core,Outbound - SDR,Hana Alvarez,2023-01-28,2023-04-02,Closed Lost,27000.0,64,False,Timing / Budget Cycle,Proposal,False,True
OPP-102246,Granite Logistics,SMB,AMER,Analytics Add-on,Partner Referral,Liam Petrov,2023-01-29,2023-02-25,Closed Lost,5500.0,27,False,Chose Competitor,Qualification,False,True
OPP-100008,Atlas Energy,Enterprise,AMER,Analytics Add-on,Partner Referral,Derek Wolf,2023-01-29,2023-05-11,Closed Lost,102500.0,102,False,No Decision / Stalled,Proposal,False,True
OPP-100120,Apex Energy,SMB,AMER,Analytics Add-on,Inbound - Website,Nadia Vanags,2023-01-29,2023-03-27,Closed Lost,10500.0,57,False,Price,Qualification,False,True
OPP-102411,Horizon Systems,Enterprise,EMEA,API Enterprise,Outbound - SDR,Maya Novak,2023-01-29,2023-03-22,Closed Lost,236500.0,52,False,Chose Competitor,Qualification,False,True
OPP-101191,Blue Harbor Logistics,SMB,APAC,Platform Core,Inbound - Website,Marco Silva,2023-01-30,2023-03-23,Closed Lost,11500.0,52,False,Chose Competitor,Prospecting,False,True
OPP-100066,Vantage Consulting,SMB,EMEA,Security Suite,Partner Referral,Priya Kimura,2023-01-30,2023-02-26,Closed Won,12000.0,27,False,,,True,True
OPP-102334,Nimbus Insurance,SMB,AMER,Platform Core,Outbound - SDR,Tomas Haas,2023-01-30,2023-03-09,Closed Lost,17000.0,38,False,Missing Features,Negotiation,False,True
OPP-103467,Lumen Foods,SMB,APAC,Platform Core,Event / Conference,Marco Silva,2023-01-31,2023-03-01,Closed Won,11500.0,29,False,,,True,True
OPP-100985,Falcon Systems,SMB,EMEA,Platform Core,Customer Expansion,Lena Berzins,2023-01-31,2023-02-13,Closed Lost,21500.0,13,False,Price,Qualification,False,True
OPP-101270,Falcon Analytics,Mid-Market,AMER,Platform Core,Outbound - SDR,Liam Petrov,2023-01-31,2023-06-11,Closed Lost,40000.0,131,False,No Decision / Stalled,Prospecting,False,True
OPP-105222,Nimbus Foods,Enterprise,AMER,Platform Core,Inbound - Website,Hana Alvarez,2023-02-01,2023-07-20,Closed Won,171000.0,169,False,,,True,True
OPP-100615,Cascade Energy,SMB,AMER,Analytics Add-on,Event / Conference,Sofia Moreau,2023-02-01,2023-02-24,Closed Won,7500.0,23,False,,,True,True
OPP-102959,Keystone Foods,SMB,AMER,API Enterprise,Outbound - SDR,Noah Bianchi,2023-02-02,2023-03-15,Closed Lost,13000.0,41,False,Missing Features,Prospecting,False,True
OPP-103985,Atlas Health,Mid-Market,AMER,Platform Core,Event / Conference,Nadia Vanags,2023-02-02,2023-05-02,Closed Won,65500.0,89,False,,,True,True
OPP-103676,Quantum Foods,Enterprise,EMEA,API Enterprise,Event / Conference,Jonas Keller,2023-02-02,2023-04-09,Closed Lost,235000.0,66,False,No Decision / Stalled,Prospecting,False,True
OPP-104256,Apex Logistics,Mid-Market,EMEA,Analytics Add-on,Customer Expansion,Priya Kimura,2023-02-03,2023-04-29,Closed Won,36500.0,85,False,,,True,True
OPP-101311,Atlas Retail Group,Mid-Market,AMER,Platform Core,Inbound - Website,Derek Wolf,2023-02-03,2023-04-20,Closed Won,53000.0,76,False,,,True,True
OPP-103104,Quantum Media,Mid-Market,EMEA,Analytics Add-on,Outbound - SDR,Lena Berzins,2023-02-03,2023-04-15,Closed Lost,67000.0,71,False,Missing Features,Qualification,False,True
OPP-103839,Pacific Manufacturing,SMB,AMER,Platform Core,Partner Referral,Oscar Chen,2023-02-04,2023-04-05,Closed Lost,15500.0,60,False,No Decision / Stalled,Prospecting,False,True
OPP-101405,Meridian Energy,Mid-Market,APAC,Platform Core,Inbound - Website,Marco Silva,2023-02-04,2023-05-12,Closed Lost,38500.0,97,False,No Decision / Stalled,Prospecting,False,True
OPP-103388,Nimbus Analytics,Mid-Market,EMEA,API Enterprise,Inbound - Website,Ava Larsen,2023-02-06,2023-05-15,Closed Lost,50000.0,98,False,No Decision / Stalled,Prospecting,False,True
OPP-105060,Apex Foods,Mid-Market,EMEA,Security Suite,Outbound - SDR,Jonas Keller,2023-02-06,2023-04-11,Closed Lost,62500.0,64,False,No Decision / Stalled,Prospecting,False,True
OPP-100399,Ironclad Health,Mid-Market,APAC,Analytics Add-on,Inbound - Website,Marco Silva,2023-02-07,2023-05-03,Closed Lost,105000.0,85,False,No Decision / Stalled,Prospecting,False,True
OPP-100819,Cascade Systems,Mid-Market,APAC,API Enterprise,Event / Conference,Marco Silva,2023-02-07,2023-04-09,Closed Lost,125000.0,61,False,Price,Prospecting,False,True
OPP-104910,Blue Harbor Energy,SMB,AMER,Platform Core,Event / Conference,Nadia Vanags,2023-02-07,2023-03-24,Closed Lost,18500.0,45,False,Chose Competitor,Prospecting,False,True
OPP-105455,Cascade Logistics,SMB,AMER,Platform Core,Customer Expansion,Hana Alvarez,2023-02-07,2023-03-28,Closed Won,11000.0,49,False,,,True,True
OPP-105329,Granite Health,Mid-Market,EMEA,Platform Core,Partner Referral,Maya Novak,2023-02-08,2023-06-12,Closed Lost,36500.0,124,False,Price,Prospecting,False,True
OPP-105121,Pacific Robotics,SMB,AMER,Platform Core,Customer Expansion,Nadia Vanags,2023-02-08,2023-02-28,Closed Won,4500.0,20,False,,,True,True
OPP-101032,Horizon Consulting,Enterprise,EMEA,Platform Core,Customer Expansion,Felix Lindqvist,2023-02-08,2023-08-19,Closed Lost,543500.0,192,False,No Decision / Stalled,Proposal,False,True
OPP-102723,Ironclad Systems,SMB,APAC,Security Suite,Outbound - SDR,Marco Silva,2023-02-08,2023-03-06,Closed Lost,10000.0,26,False,Chose Competitor,Prospecting,False,True
OPP-102070,Lumen Logistics,SMB,EMEA,Platform Core,Outbound - SDR,Maya Novak,2023-02-08,2023-04-08,Closed Won,13500.0,59,False,,,True,True
OPP-102721,Ironclad Consulting,Mid-Market,AMER,Platform Core,Inbound - Website,Oscar Chen,2023-02-08,2023-04-18,Closed Lost,28500.0,69,False,Price,Prospecting,False,True
OPP-101079,Orion Robotics,Mid-Market,EMEA,Platform Core,Outbound - SDR,Kai Duarte,2023-02-08,2023-05-22,Closed Lost,48500.0,103,False,Chose Competitor,Prospecting,False,True
OPP-103078,Pacific Media,SMB,AMER,Analytics Add-on,Event / Conference,Oscar Chen,2023-02-09,2023-03-15,Closed Lost,13500.0,34,False,Chose Competitor,Proposal,False,True
OPP-104165,Pinnacle Robotics,SMB,EMEA,Security Suite,Inbound - Website,Jonas Keller,2023-02-09,2023-03-21,Closed Lost,9500.0,40,False,Chose Competitor,Proposal,False,True
OPP-103133,Vertex Analytics,SMB,AMER,Analytics Add-on,Partner Referral,Hana Alvarez,2023-02-10,2023-03-22,Closed Lost,7500.0,40,False,Chose Competitor,Qualification,False,True
OPP-100131,Cascade Foods,Mid-Market,AMER,Platform Core,Event / Conference,Hana Alvarez,2023-02-10,2023-05-22,Closed Lost,57500.0,101,False,Chose Competitor,Qualification,False,True
OPP-102385,Nimbus Energy,Mid-Market,AMER,Analytics Add-on,Inbound - Website,Zara Ito,2023-02-10,2023-04-03,Closed Lost,24000.0,52,False,Price,Prospecting,False,True
OPP-101705,Falcon Health,Mid-Market,AMER,Security Suite,Inbound - Website,Zara Ito,2023-02-10,2023-05-12,Closed Lost,41500.0,91,False,Chose Competitor,Qualification,False,True
OPP-102524,Apex Technologies,Mid-Market,EMEA,Platform Core,Event / Conference,Ines Osei,2023-02-11,2023-04-13,Closed Won,60500.0,61,False,,,True,True
OPP-102790,Apex Health,SMB,AMER,Platform Core,Inbound - Website,Liam Petrov,2023-02-11,2023-03-03,Closed Lost,15000.0,20,False,Price,Qualification,False,True
OPP-103248,Falcon Media,Mid-Market,AMER,API Enterprise,Outbound - SDR,Hana Alvarez,2023-02-11,2023-04-16,Closed Lost,23000.0,64,False,Price,Prospecting,False,True
OPP-104040,Granite Technologies,Enterprise,EMEA,Platform Core,Customer Expansion,Maya Novak,2023-02-11,2023-07-03,Closed Lost,72000.0,142,False,Timing / Budget Cycle,Prospecting,False,True
OPP-103314,Falcon Analytics,Mid-Market,AMER,API Enterprise,Inbound - Website,Tomas Haas,2023-02-12,2023-05-21,Closed Lost,36500.0,98,False,Price,Qualification,False,True
OPP-102549,Apex Energy,SMB,AMER,API Enterprise,Inbound - Website,Oscar Chen,2023-02-12,2023-03-10,Closed Lost,8000.0,26,False,Chose Competitor,Qualification,False,True
OPP-103955,Quantum Consulting,Mid-Market,EMEA,Analytics Add-on,Customer Expansion,Ava Larsen,2023-02-12,2023-04-10,Closed Lost,23000.0,57,False,Missing Features,Prospecting,False,True
OPP-103956,Lumen Media,Enterprise,AMER,Platform Core,Customer Expansion,Oscar Chen,2023-02-13,2023-09-29,Closed Lost,212500.0,228,False,Chose Competitor,Qualification,False,True
OPP-105519,Summit Consulting,SMB,EMEA,API Enterprise,Customer Expansion,Lena Berzins,2023-02-13,2023-03-12,Closed Lost,9500.0,27,False,Price,Proposal,False,True
OPP-102565,Ironclad Manufacturing,SMB,APAC,Platform Core,Outbound - SDR,Ethan Sharma,2023-02-13,2023-05-11,Closed Won,9000.0,87,False,,,True,True
OPP-103315,Cascade Consulting,Enterprise,AMER,Platform Core,Customer Expansion,Noah Bianchi,2023-02-14,2023-10-17,Closed Lost,226000.0,245,False,Price,Prospecting,False,True
OPP-101656,Keystone Manufacturing,Mid-Market,AMER,Analytics Add-on,Outbound - SDR,Noah Bianchi,2023-02-14,2023-06-14,Closed Won,26000.0,120,False,,,True,True
OPP-100300,Pinnacle Logistics,Mid-Market,EMEA,Platform Core,Customer Expansion,Ines Osei,2023-02-14,2023-04-17,Closed Lost,38000.0,62,False,Missing Features,Qualification,False,True
OPP-101306,Falcon Financial,Enterprise,EMEA,Analytics Add-on,Customer Expansion,Felix Lindqvist,2023-02-14,2023-11-10,Closed Lost,221000.0,269,False,No Decision / Stalled,Qualification,False,True
OPP-105837,Falcon Foods,Mid-Market,EMEA,Analytics Add-on,Partner Referral,Jonas Keller,2023-02-14,2023-03-21,Closed Won,75000.0,35,False,,,True,True
OPP-102980,Pinnacle Energy,SMB,EMEA,API Enterprise,Inbound - Website,Felix Lindqvist,2023-02-15,2023-05-04,Closed Lost,16500.0,78,False,Price,Prospecting,False,True
OPP-104751,Cascade Consulting,SMB,EMEA,Platform Core,Customer Expansion,Ava Larsen,2023-02-15,2023-03-22,Closed Won,22500.0,35,False,,,True,True
OPP-100788,Falcon Analytics,SMB,EMEA,Security Suite,Customer Expansion,Felix Lindqvist,2023-02-15,2023-03-24,Closed Lost,7500.0,37,False,Chose Competitor,Proposal,False,True
OPP-102366,Blue Harbor Logistics,SMB,AMER,Security Suite,Customer Expansion,Derek Wolf,2023-02-15,2023-03-21,Closed Lost,8000.0,34,False,Timing / Budget Cycle,Qualification,False,True
OPP-103452,Falcon Consulting,SMB,EMEA,Platform Core,Event / Conference,Ava Larsen,2023-02-16,2023-04-18,Closed Lost,15000.0,61,False,Missing Features,Proposal,False,True
OPP-105261,Meridian Robotics,Enterprise,EMEA,Platform Core,Event / Conference,Felix Lindqvist,2023-02-16,2023-06-24,Closed Lost,123500.0,128,False,Price,Prospecting,False,True
OPP-100408,Blue Harbor Analytics,Mid-Market,AMER,API Enterprise,Event / Conference,Tomas Haas,2023-02-16,2023-03-29,Closed Won,94000.0,41,False,,,True,True
OPP-105619,Vertex Manufacturing,Mid-Market,AMER,Platform Core,Customer Expansion,Noah Bianchi,2023-02-16,2023-09-01,Closed Won,48000.0,197,False,,,True,True
OPP-100099,Redwood Technologies,Mid-Market,AMER,Security Suite,Customer Expansion,Noah Bianchi,2023-02-17,2023-03-24,Closed Won,39000.0,35,False,,,True,True
OPP-100671,Vantage Media,Mid-Market,AMER,Platform Core,Inbound - Website,Sofia Moreau,2023-02-17,2023-06-13,Closed Lost,83000.0,116,False,Missing Features,Prospecting,False,True
OPP-105484,Northwind Technologies,SMB,AMER,Platform Core,Event / Conference,Zara Ito,2023-02-17,2023-04-10,Closed Lost,5500.0,52,False,Chose Competitor,Negotiation,False,True
OPP-105621,Pinnacle Logistics,SMB,EMEA,Platform Core,Inbound - Website,Felix Lindqvist,2023-02-18,2023-03-28,Closed Lost,8500.0,38,False,Price,Proposal,False,True
OPP-104705,Granite Energy,Mid-Market,EMEA,Security Suite,Outbound - SDR,Lena Berzins,2023-02-18,2023-04-28,Closed Lost,51500.0,69,False,No Decision / Stalled,Proposal,False,True
OPP-102211,Vantage Analytics,Enterprise,EMEA,Analytics Add-on,Event / Conference,Kai Duarte,2023-02-18,2023-07-12,Closed Lost,126000.0,144,False,No Decision / Stalled,Prospecting,False,True
